count,ISB_Service,bus_stop_board,time_start,day_of_the_week,is_weekend,is_peak,hour,minute
2,D2,KR MRT,2024-09-01 07:45:00,Monday,0,0,7,45
1,A1,BIZ2,2024-09-01 07:46:00,Monday,0,0,7,46
4,D2,Opp KR MRT,2024-09-01 07:46:00,Monday,0,0,7,46
4,A1,YIH,2024-09-01 07:46:00,Monday,0,0,7,46
3,A1,PGP Terminal,2024-09-01 07:46:00,Monday,0,0,7,46
3,D2,PGP Terminal,2024-09-01 07:46:00,Monday,0,0,7,46
1,A1,LT27,2024-09-01 07:46:00,Monday,0,0,7,46
5,A1,LT13,2024-09-01 07:46:00,Monday,0,0,7,46
4,D2,S17,2024-09-01 07:46:00,Monday,0,0,7,46
10,D2,UTown,2024-09-01 07:46:00,Monday,0,0,7,46
2,D2,University Hall,2024-09-01 07:46:00,Monday,0,0,7,46
17,A1,KR MRT,2024-09-01 07:46:00,Monday,0,0,7,46
1,K,KR MRT,2024-09-01 07:46:00,Monday,0,0,7,46
4,A1,KR Bus Terminal,2024-09-01 07:46:00,Monday,0,0,7,46
2,A1,CLB,2024-09-01 07:46:00,Monday,0,0,7,46
2,K,LT27,2024-09-01 07:46:00,Monday,0,0,7,46
4,A2,IT,2024-09-01 07:46:00,Monday,0,0,7,46
2,D2,Museum,2024-09-01 07:46:00,Monday,0,0,7,46
1,D2,LT27,2024-09-01 07:46:00,Monday,0,0,7,46
1,A2,Opp KR MRT,2024-09-01 07:46:00,Monday,0,0,7,46
4,D1,Opp YIH,2024-09-01 07:46:00,Monday,0,0,7,46
1,D1,Opp NUSS,2024-09-01 07:46:00,Monday,0,0,7,46
1,D1,Opp HSSML,2024-09-01 07:46:00,Monday,0,0,7,46
1,D1,Museum,2024-09-01 07:46:00,Monday,0,0,7,46
6,D2,COM3,2024-09-01 07:46:00,Monday,0,0,7,46
4,D1,IT,2024-09-01 07:46:00,Monday,0,0,7,46
2,K,Opp KR MRT,2024-09-01 07:46:00,Monday,0,0,7,46
3,D1,COM3,2024-09-01 07:46:00,Monday,0,0,7,46
31,D2,KR MRT,2024-09-01 07:46:00,Monday,0,0,7,46
1,BTC (Bukit Timah Campus),UTown,2024-09-01 07:46:00,Monday,0,0,7,46
1,BTC (Bukit Timah Campus),LT27,2024-09-01 07:46:00,Monday,0,0,7,46
5,BTC (Bukit Timah Campus),KR MRT,2024-09-01 07:46:00,Monday,0,0,7,46
1,A2,UHC,2024-09-01 07:46:00,Monday,0,0,7,46
1,A2,S17,2024-09-01 07:46:00,Monday,0,0,7,46
1,D1,CLB,2024-09-01 07:46:00,Monday,0,0,7,46
1,K,S17,2024-09-01 07:46:00,Monday,0,0,7,46
6,D1,UTown,2024-09-01 07:46:00,Monday,0,0,7,46
1,D2,KR MRT,2024-09-01 07:49:00,Monday,0,0,7,49
1,D2,Opp KR MRT,2024-09-01 07:50:00,Monday,0,0,7,50
1,D2,KR MRT,2024-09-01 07:51:00,Monday,0,0,7,51
1,A1,PGP Terminal,2024-09-01 07:51:00,Monday,0,0,7,51
1,BTC (Bukit Timah Campus),KR MRT,2024-09-01 07:52:00,Monday,0,0,7,52
1,D1,UTown,2024-09-01 07:53:00,Monday,0,0,7,53
1,A1,KR MRT,2024-09-01 07:53:00,Monday,0,0,7,53
1,BTC (Bukit Timah Campus),KR MRT,2024-09-01 07:53:00,Monday,0,0,7,53
1,BTC (Bukit Timah Campus),LT27,2024-09-01 07:53:00,Monday,0,0,7,53
1,D2,KR MRT,2024-09-01 07:54:00,Monday,0,0,7,54
1,D1,LT13,2024-09-01 07:55:00,Monday,0,0,7,55
1,A1,KR MRT,2024-09-01 07:56:00,Monday,0,0,7,56
1,D1,UTown,2024-09-01 07:58:00,Monday,0,0,7,58
1,A2,Opp KR MRT,2024-09-01 07:59:00,Monday,0,0,7,59
1,D2,KR MRT,2024-09-01 07:59:00,Monday,0,0,7,59
1,D2,KR MRT,2024-09-01 08:00:00,Monday,0,0,8,0
2,A1,KR MRT,2024-09-01 08:01:00,Monday,0,0,8,1
1,D2,KR MRT,2024-09-01 08:02:00,Monday,0,0,8,2
1,K,KR MRT,2024-09-01 08:02:00,Monday,0,0,8,2
2,A1,KR MRT,2024-09-01 08:02:00,Monday,0,0,8,2
1,BTC (Bukit Timah Campus),KR MRT,2024-09-01 08:02:00,Monday,0,0,8,2
2,D2,KR MRT,2024-09-01 08:03:00,Monday,0,0,8,3
1,D2,Opp KR MRT,2024-09-01 08:03:00,Monday,0,0,8,3
1,D1,IT,2024-09-01 08:03:00,Monday,0,0,8,3
1,A1,PGP Terminal,2024-09-01 08:04:00,Monday,0,0,8,4
1,A1,KR MRT,2024-09-01 08:04:00,Monday,0,0,8,4
1,A1,BIZ2,2024-09-01 08:04:00,Monday,0,0,8,4
1,BTC (Bukit Timah Campus),KR MRT,2024-09-01 08:05:00,Monday,0,0,8,5
1,D1,UTown,2024-09-01 08:05:00,Monday,0,0,8,5
3,A1,KR MRT,2024-09-01 08:05:00,Monday,0,0,8,5
1,D1,COM3,2024-09-01 08:06:00,Monday,0,0,8,6
2,D2,KR MRT,2024-09-01 08:07:00,Monday,0,0,8,7
1,BTC (Bukit Timah Campus),UTown,2024-09-01 08:07:00,Monday,0,0,8,7
1,A1,KR MRT,2024-09-01 08:07:00,Monday,0,0,8,7
1,A1,PGP Terminal,2024-09-01 08:07:00,Monday,0,0,8,7
1,A1,LT27,2024-09-01 08:08:00,Monday,0,0,8,8
2,D2,KR MRT,2024-09-01 08:08:00,Monday,0,0,8,8
1,D2,UTown,2024-09-01 08:08:00,Monday,0,0,8,8
2,A1,KR MRT,2024-09-01 08:09:00,Monday,0,0,8,9
2,D2,KR MRT,2024-09-01 08:09:00,Monday,0,0,8,9
1,D1,YIH,2024-09-01 08:10:00,Monday,0,0,8,10
2,D2,KR MRT,2024-09-01 08:10:00,Monday,0,0,8,10
1,BTC (Bukit Timah Campus),Museum,2024-09-01 08:10:00,Monday,0,0,8,10
1,K,CLB,2024-09-01 08:10:00,Monday,0,0,8,10
1,BTC (Bukit Timah Campus),KR MRT,2024-09-01 08:10:00,Monday,0,0,8,10
1,D2,PGP Terminal,2024-09-01 08:10:00,Monday,0,0,8,10
1,D2,S17,2024-09-01 08:11:00,Monday,0,0,8,11
2,D2,KR MRT,2024-09-01 08:11:00,Monday,0,0,8,11
1,A1,KR MRT,2024-09-01 08:11:00,Monday,0,0,8,11
1,D2,UTown,2024-09-01 08:11:00,Monday,0,0,8,11
1,A2,Opp KR MRT,2024-09-01 08:12:00,Monday,0,0,8,12
1,A1,BIZ2,2024-09-01 08:12:00,Monday,0,0,8,12
1,A1,KR MRT,2024-09-01 08:12:00,Monday,0,0,8,12
1,D2,COM3,2024-09-01 08:12:00,Monday,0,0,8,12
1,D2,Opp KR MRT,2024-09-01 08:13:00,Monday,0,0,8,13
1,D1,UTown,2024-09-01 08:13:00,Monday,0,0,8,13
1,D2,UTown,2024-09-01 08:13:00,Monday,0,0,8,13
1,A1,KR MRT,2024-09-01 08:14:00,Monday,0,0,8,14
1,D2,KR MRT,2024-09-01 08:14:00,Monday,0,0,8,14
1,D2,KR MRT,2024-09-01 08:15:00,Monday,0,0,8,15
1,A1,KR MRT,2024-09-01 08:15:00,Monday,0,0,8,15
1,A2,Opp KR MRT,2024-09-01 08:15:00,Monday,0,0,8,15
1,D2,LT27,2024-09-01 08:15:00,Monday,0,0,8,15
1,A2,KR Bus Terminal,2024-09-01 08:16:00,Monday,0,0,8,16
1,D2,KR MRT,2024-09-01 08:16:00,Monday,0,0,8,16
1,D2,KR MRT,2024-09-01 08:17:00,Monday,0,0,8,17
1,D2,KR MRT,2024-09-01 08:18:00,Monday,0,0,8,18
1,D2,University Hall,2024-09-01 08:18:00,Monday,0,0,8,18
1,D1,YIH,2024-09-01 08:18:00,Monday,0,0,8,18
1,A1,BIZ2,2024-09-01 08:18:00,Monday,0,0,8,18
2,A1,KR MRT,2024-09-01 08:18:00,Monday,0,0,8,18
1,D2,KR MRT,2024-09-01 08:20:00,Monday,0,0,8,20
1,K,KR MRT,2024-09-01 08:20:00,Monday,0,0,8,20
1,K,KR MRT,2024-09-01 08:21:00,Monday,0,0,8,21
1,K,University Hall,2024-09-01 08:21:00,Monday,0,0,8,21
1,A2,S17,2024-09-01 08:21:00,Monday,0,0,8,21
1,D1,IT,2024-09-01 08:21:00,Monday,0,0,8,21
1,A2,Opp YIH,2024-09-01 08:22:00,Monday,0,0,8,22
1,A2,KR Bus Terminal,2024-09-01 08:22:00,Monday,0,0,8,22
1,D2,KR MRT,2024-09-01 08:23:00,Monday,0,0,8,23
1,D2,KR MRT,2024-09-01 08:24:00,Monday,0,0,8,24
1,D2,KR MRT,2024-09-01 08:25:00,Monday,0,0,8,25
2,A1,KR MRT,2024-09-01 08:25:00,Monday,0,0,8,25
1,D2,LT27,2024-09-01 08:25:00,Monday,0,0,8,25
2,A1,KR MRT,2024-09-01 08:27:00,Monday,0,0,8,27
2,D2,KR MRT,2024-09-01 08:27:00,Monday,0,0,8,27
1,D2,UTown,2024-09-01 08:28:00,Monday,0,0,8,28
1,D1,UTown,2024-09-01 08:28:00,Monday,0,0,8,28
1,D2,KR MRT,2024-09-01 08:28:00,Monday,0,0,8,28
1,A1,KR MRT,2024-09-01 08:28:00,Monday,0,0,8,28
2,D2,KR MRT,2024-09-01 08:29:00,Monday,0,0,8,29
1,D2,KR MRT,2024-09-01 08:30:00,Monday,0,0,8,30
1,A2,Opp KR MRT,2024-09-01 08:31:00,Monday,0,0,8,31
1,D2,KR MRT,2024-09-01 08:31:00,Monday,0,0,8,31
1,A1,KR MRT,2024-09-01 08:31:00,Monday,0,0,8,31
1,BTC (Bukit Timah Campus),KR MRT,2024-09-01 08:31:00,Monday,0,0,8,31
2,D2,KR MRT,2024-09-01 08:32:00,Monday,0,0,8,32
1,BTC (Bukit Timah Campus),KR MRT,2024-09-01 08:32:00,Monday,0,0,8,32
1,D2,KR MRT,2024-09-01 08:33:00,Monday,0,0,8,33
1,A1,KR MRT,2024-09-01 08:33:00,Monday,0,0,8,33
1,D1,IT,2024-09-01 08:33:00,Monday,0,0,8,33
1,D2,KR MRT,2024-09-01 08:34:00,Monday,0,0,8,34
1,A1,BIZ2,2024-09-01 08:35:00,Monday,0,0,8,35
1,A2,S17,2024-09-01 08:35:00,Monday,0,0,8,35
1,D2,Opp KR MRT,2024-09-01 08:37:00,Monday,0,0,8,37
1,D2,LT27,2024-09-01 08:37:00,Monday,0,0,8,37
1,D2,KR MRT,2024-09-01 08:37:00,Monday,0,0,8,37
1,A1,KR MRT,2024-09-01 08:38:00,Monday,0,0,8,38
1,D2,KR MRT,2024-09-01 08:38:00,Monday,0,0,8,38
2,D2,UTown,2024-09-01 08:39:00,Monday,0,0,8,39
1,D2,Museum,2024-09-01 08:39:00,Monday,0,0,8,39
1,D1,UTown,2024-09-01 08:39:00,Monday,0,0,8,39
1,A1,LT13,2024-09-01 08:40:00,Monday,0,0,8,40
1,K,KR MRT,2024-09-01 08:40:00,Monday,0,0,8,40
2,A1,KR MRT,2024-09-01 08:40:00,Monday,0,0,8,40
1,D2,KR MRT,2024-09-01 08:41:00,Monday,0,0,8,41
1,A1,PGP Terminal,2024-09-01 08:41:00,Monday,0,0,8,41
1,A1,KR MRT,2024-09-01 08:41:00,Monday,0,0,8,41
2,D2,PGP Terminal,2024-09-01 08:41:00,Monday,0,0,8,41
1,D2,UTown,2024-09-01 08:42:00,Monday,0,0,8,42
1,A1,KR MRT,2024-09-01 08:43:00,Monday,0,0,8,43
